2026-07-09 19:23:17.769 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 19:23:17.769 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 19:23:28.085 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 19:26:46.206 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:26:46.328 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:26:46.702 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:26:46.704 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:26:46.704 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:26:46.729 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:26:46.733 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:26:46.752 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:26:46.817 | INFO     | app.view.setting_interface:_loadDeviceId:268 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 19:26:46.818 | INFO     | app.view.setting_interface:_updateActivationStatus:354 | [Setting] 当前状态: 未激活
2026-07-09 19:26:46.877 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 19:26:46.877 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 19:26:46.899 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 19:26:46.900 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 19:26:53.635 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 19:27:24.957 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:27:25.072 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:27:25.449 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:27:25.450 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:27:25.450 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:27:25.483 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:27:25.487 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:27:25.504 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:27:25.566 | INFO     | app.view.setting_interface:_loadDeviceId:268 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 19:27:25.566 | INFO     | app.view.setting_interface:_updateActivationStatus:354 | [Setting] 当前状态: 未激活
2026-07-09 19:27:25.627 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 19:27:25.628 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 19:27:25.648 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 19:27:25.649 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 19:27:40.228 | INFO     | app.view.setting_interface:_activateLicense:297 | [Setting] 尝试激活，激活码: eyJkZXZp...
2026-07-09 19:27:40.279 | INFO     | app.view.setting_interface:_activateLicense:317 | [Setting] 激活成功
2026-07-09 19:27:43.747 | INFO     | app.view.setting_interface:_activateLicense:297 | [Setting] 尝试激活，激活码: eyJkZXZp...
2026-07-09 19:27:43.797 | INFO     | app.view.setting_interface:_activateLicense:317 | [Setting] 激活成功
2026-07-09 19:27:47.065 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 20:37:37.415 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:37:37.530 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:37:37.928 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:37:37.930 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:37:37.930 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:37:37.966 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:37:37.970 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:37:37.989 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:37:38.057 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:37:38.076 | INFO     | app.view.setting_interface:_updateActivationStatus:364 | [Setting] 当前状态: 未激活
2026-07-09 20:37:38.133 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 20:37:38.134 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 20:37:38.154 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 20:37:38.155 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 20:37:43.869 | INFO     | app.view.setting_interface:_activateLicense:295 | [Setting] 尝试激活，激活码: eyJkZXZp...
2026-07-09 20:37:43.891 | INFO     | app.view.setting_interface:_activateLicense:315 | [Setting] 激活成功
2026-07-09 20:38:58.108 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:38:58.221 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:38:58.582 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:38:58.583 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:38:58.585 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:38:58.613 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:38:58.617 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:38:58.635 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:38:58.699 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:38:58.719 | INFO     | app.view.setting_interface:_updateActivationStatus:360 | [Setting] 当前状态: 未激活
2026-07-09 20:38:58.773 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 20:38:58.775 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 20:38:58.795 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 20:38:58.796 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 20:39:03.055 | INFO     | app.view.setting_interface:_activateLicense:295 | [Setting] 尝试激活，激活码: eyJkZXZp...
2026-07-09 20:39:03.077 | INFO     | app.view.setting_interface:_activateLicense:315 | [Setting] 激活成功
2026-07-09 20:39:03.083 | INFO     | app.view.setting_interface:_updateActivationStatus:348 | [Setting] 当前状态: gg | 有效期至 2026-12-31 | 剩余 174 天
2026-07-09 20:39:17.587 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 20:39:29.138 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:39:29.251 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:39:29.613 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
